機關名稱,OID,電話,地址,DN,,,,,,,,,
國民大會,2.16.886.101.20001,02-23311312,台北市中華路1段53號,o=國民大會,c=TW,,,,,,,,
總統府,2.16.886.101.20002,02-23113731,台北市重慶南路1段122號,o=總統府,c=TW,,,,,,,,
中央研究院,2.16.886.101.20002.20001,02-27822120,台北市南港區研究院路2段128號,ou=中央研究院,o=總統府,c=TW,,,,,,,
國史館,2.16.886.101.20002.20002,02-23161000,臺北市長沙街1段2號,ou=國史館,o=總統府,c=TW,,,,,,,
國史館臺灣文獻館,2.16.886.101.20002.20002.20001,049-2316881,南投市光明里光明一路252號,ou=臺灣文獻館,ou=國史館,o=總統府,c=TW,,,,,,
行政院,2.16.886.101.20003,02-33566500,台北市忠孝東路1段1號,o=行政院,c=TW,,,,,,,,
內政部,2.16.886.101.20003.20001,02-23565000,台北市徐州路5號7樓,ou=內政部,o=行政院,c=TW,,,,,,,
內政部警政署,2.16.886.101.20003.20001.20001,02-23219011,台北市忠孝東路1段7號,ou=警政署,ou=內政部,o=行政院,c=TW,,,,,,
內政部警政署刑事警察局,2.16.886.101.20003.20001.20001.20002,02-27678020,台北市忠孝東路4段553巷5號,ou=刑事警察局,ou=警政署,ou=內政部,o=行政院,c=TW,,,,,
內政部警政署航空警察局,2.16.886.101.20003.20001.20001.20003,03-3983281,桃園縣大園鄉埔心村航勤北路27號,ou=航空警察局,ou=警政署,ou=內政部,o=行政院,c=TW,,,,,
臺灣警察專科學校,2.16.886.101.20003.20001.20001.20005,02-22308512-2119,台北市文山區興隆路3段153號,ou=臺灣警察專科學校,ou=警政署,ou=內政部,o=行政院,c=TW,,,,,
內政部警政署保安警察第一總隊,2.16.886.101.20003.20001.20001.20006,02-28229543,台北市北投區立農街2段301號,ou=保安警察第一總隊,ou=警政署,ou=內政部,o=行政院,c=TW,,,,,
內政部警政署保安警察第二總隊,2.16.886.101.20003.20001.20001.20007,02-29412705,新北市中和區景平路123號,ou=保安警察第二總隊,ou=警政署,ou=內政部,o=行政院,c=TW,,,,,
內政部警政署保安警察第三總隊,2.16.886.101.20003.20001.20001.20008,02-26668601,新北市新店區屈尺路11號,ou=保安警察第三總隊,ou=警政署,ou=內政部,o=行政院,c=TW,,,,,
內政部警政署保安警察第四總隊,2.16.886.101.20003.20001.20001.20009,04-7260743,彰化市南郭路1段383號,ou=保安警察第四總隊,ou=警政署,ou=內政部,o=行政院,c=TW,,,,,
內政部警政署保安警察第五總隊,2.16.886.101.20003.20001.20001.20010,07-3720343,高雄市仁武區中正路451號,ou=保安警察第五總隊,ou=警政署,ou=內政部,o=行政院,c=TW,,,,,
內政部警政署保安警察第六總隊,2.16.886.101.20003.20001.20001.20011,02-23933364,台北市南昌路1段10號,ou=保安警察第六總隊,ou=警政署,ou=內政部,o=行政院,c=TW,,,,,
內政部警政署國道公路警察局,2.16.886.101.20003.20001.20001.20012,02-29094111,新北市泰山區黎明里半山雅70之2號,ou=國道公路警察局,ou=警政署,ou=內政部,o=行政院,c=TW,,,,,
第三隊,2.16.886.101.20003.20001.20001.20014.20003,02-23493282,台北市中正區重慶南路120號,ou=第三隊,ou=臺灣保安警察總隊,ou=警政署,ou=內政部,o=行政院,c=TW,,,,
第四隊,2.16.886.101.20003.20001.20001.20014.20004,29337975,台北市萬盛街15號,ou=第四隊,ou=臺灣保安警察總隊,ou=警政署,ou=內政部,o=行政院,c=TW,,,,
第五隊,2.16.886.101.20003.20001.20001.20014.20005,03-4712014,桃園縣龍潭鄉佳安路3-1號,ou=第五隊,ou=臺灣保安警察總隊,ou=警政署,ou=內政部,o=行政院,c=TW,,,,
第六隊,2.16.886.101.20003.20001.20001.20014.20006,06-5753354,台南縣楠西鄉曾文新村70號,ou=第六隊,ou=臺灣保安警察總隊,ou=警政署,ou=內政部,o=行政院,c=TW,,,,
內政部警政署鐵路警察局,2.16.886.101.20003.20001.20001.20015,02-23115580,台北市北平西路56號,ou=鐵路警察局,ou=警政署,ou=內政部,o=行政院,c=TW,,,,,
內政部警政署鐵路警察局刑事警察隊,2.16.886.101.20003.20001.20001.20015.20001,25523401,台北市塔城街2號,ou=刑事警察隊,ou=鐵路警察局,ou=警政署,ou=內政部,o=行政院,c=TW,,,,
內政部警政署鐵路警察局第一警務段,2.16.886.101.20003.20001.20001.20015.20002,23711396,台北市北平西路56號,ou=第一警務段,ou=鐵路警察局,ou=警政署,ou=內政部,o=行政院,c=TW,,,,
內政部警政署鐵路警察局第二警務段,2.16.886.101.20003.20001.20001.20015.20003,04-22123525,台中市新民街32號,ou=第二警務段,ou=鐵路警察局,ou=警政署,ou=內政部,o=行政院,c=TW,,,,
內政部警政署鐵路警察局第三警務段,2.16.886.101.20003.20001.20001.20015.20004,07-2619148,高雄市三民區建國三路2之6號,ou=第三警務段,ou=鐵路警察局,ou=警政署,ou=內政部,o=行政院,c=TW,,,,
第四警務段,2.16.886.101.20003.20001.20001.20015.20005,03-8322622,花蓮市國聯一路130號,ou=第四警務段,ou=鐵路警察局,ou=警政署,ou=內政部,o=行政院,c=TW,,,,
內政部警政署鐵路警察局護車隊,2.16.886.101.20003.20001.20001.20015.20006,23113539,台北市北平西路56號,ou=護車隊,ou=鐵路警察局,ou=警政署,ou=內政部,o=行政院,c=TW,,,,
內政部警政署警察機械修理廠,2.16.886.101.20003.20001.20001.20017,02-27356980,台北市臥龍街236號,ou=警察機械修理廠,ou=警政署,ou=內政部,o=行政院,c=TW,,,,,
內政部警政署警察廣播電臺,2.16.886.101.20003.20001.20001.20024,02-23888099,台北市廣州街17號,ou=警察廣播電臺,ou=警政署,ou=內政部,o=行政院,c=TW,,,,,
內政部營建署,2.16.886.101.20003.20001.20002,02-87712422,台北市八德路2段342號,ou=營建署,ou=內政部,o=行政院,c=TW,,,,,,
墾丁國家公園管理處,2.16.886.101.20003.20001.20002.20001,08-8861321-271,屏東縣恆春鎮墾丁路596號,ou=墾丁國家公園管理處,ou=營建署,ou=內政部,o=行政院,c=TW,,,,,
玉山國家公園管理處,2.16.886.101.20003.20001.20002.20002,049-2773121,南投縣水里鄉中山路1段515號,ou=玉山國家公園管理處,ou=營建署,ou=內政部,o=行政院,c=TW,,,,,
陽明山國家公園管理處,2.16.886.101.20003.20001.20002.20003,02-28613601,台北市陽明山竹子湖路1-20號,ou=陽明山國家公園管理處,ou=營建署,ou=內政部,o=行政院,c=TW,,,,,
太魯閣國家公園管理處,2.16.886.101.20003.20001.20002.20004,03-8621100-301,花蓮縣秀林鄉富世村291號,ou=太魯閣國家公園管理處,ou=營建署,ou=內政部,o=行政院,c=TW,,,,,
雪霸國家公園管理處,2.16.886.101.20003.20001.20002.20005,037-996100,苗栗縣大湖鄉富興村水尾坪100號,ou=雪霸國家公園管理處,ou=營建署,ou=內政部,o=行政院,c=TW,,,,,
金門國家公園管理處,2.16.886.101.20003.20001.20002.20006,082-313100,金門縣金寧鄉伯玉路2段460號,ou=金門國家公園管理處,ou=營建署,ou=內政部,o=行政院,c=TW,,,,,
內政部消防署,2.16.886.101.20003.20001.20003,02-89114119,新北市新店區北新路3段200號8樓,ou=消防署,ou=內政部,o=行政院,c=TW,,,,,,
內政部消防署基隆港務消防隊,2.16.886.101.20003.20001.20003.20001,02-24223009,基隆市中山二路117號,ou=基隆港務消防隊,ou=消防署,ou=內政部,o=行政院,c=TW,,,,,
內政部消防署臺中港務消防隊,2.16.886.101.20003.20001.20003.20002,04-26572480,台中縣梧棲鎮中棲路3段91巷90號,ou=臺中港務消防隊,ou=消防署,ou=內政部,o=行政院,c=TW,,,,,
內政部消防署高雄港務消防隊,2.16.886.101.20003.20001.20003.20003,07-5622601,高雄市鼓山區臨海新路25號,ou=高雄港務消防隊,ou=消防署,ou=內政部,o=行政院,c=TW,,,,,
